CustomerID,Recency,Frequency,Monetary,Cluster
12346,326,1,77183.6,0
12747,3,11,4196.01,1
12748,1,209,33053.19,1
12749,4,5,4090.88,1
12820,4,4,942.34,1
12821,215,1,92.72,2
12822,71,2,948.88,0
12823,75,5,1759.5,0
12824,60,1,397.12,2
12826,3,7,1474.72,1
12827,6,3,430.15,0
12828,3,6,1018.71,1
12829,337,2,293,2
12830,38,6,6814.64,1
12831,263,1,215.05,2
12832,33,2,383.03,0
12833,146,1,417.38,2
12834,283,1,312.38,2
12836,60,4,2610.36,0
12837,174,1,134.1,2
12838,34,2,671.95,0
12839,3,14,5591.42,1
12840,144,4,2726.77,0
12841,5,25,3991.58,1
12842,71,2,1118.99,0
12843,66,8,1702.26,0
12844,30,2,325.96,0
12845,268,4,354.09,2
12847,23,1,843.64,0
12849,32,2,1010.29,0
12851,97,1,131.81,2
12852,295,1,311.55,2
12853,135,6,1957.1,0
12854,79,3,1316.25,0
12855,373,1,38.1,2
12856,8,6,2170.78,1
12857,211,2,1106.4,0
12863,53,1,521.2,2
12864,139,1,147.12,2
12867,27,7,4009.34,1
12868,186,6,1607.06,0
12871,85,2,380.64,2
12872,327,2,599.97,2
12873,283,1,374,2
12875,144,2,343.23,2
12877,4,12,1535.77,1
12878,237,2,854.99,2
12879,45,3,573.22,0
12881,276,1,298,2
12882,10,2,1463.04,0
12883,25,4,703.47,0
12884,89,1,309.05,2
12885,64,3,1175.22,0
12886,68,2,1378.4,0
12888,215,2,354.12,2
12890,25,1,376.72,2
12891,186,3,331,2
12893,31,1,176.55,2
12895,43,2,372.8,0
12897,205,2,216.5,2
12901,9,28,17654.54,1
12902,265,1,138.68,2
12904,19,2,496.06,0
12906,12,5,2919.81,1
12908,177,2,750,2
12909,40,5,2178.67,0
12910,24,8,3075.04,1
12912,3,5,1662.3,1
12913,5,5,2483.63,1
12915,149,2,363.65,2
12916,139,4,2944.95,0
12917,129,1,594,2
12919,9,6,1335.19,1
12920,18,1,162.78,2
12921,10,37,16587.09,1
12922,162,1,405.38,2
12923,65,1,172.82,2
12924,89,4,933.7,0
12925,5,2,694.05,0
12928,36,5,2062.7,0
12929,312,1,117.85,2
12930,79,2,415.8,2
12931,22,15,42055.96,1
12933,25,3,607.53,0
12935,3,7,2160.7,1
12936,18,4,1063.9,0
12937,16,4,1504.27,0
12938,26,1,114.14,2
12939,65,8,11581.8,1
12940,55,2,899.69,0
12942,132,3,675.6,0
12944,36,2,604.51,0
12945,289,1,462.95,2
12947,144,6,1603.99,0
12948,17,7,2064.95,1
12949,31,8,4167.22,1
12950,3,3,1843,1
12951,9,6,1064.07,1
12952,6,4,1387.79,1
12953,10,1,329.85,0
12955,2,11,4757.16,1
12956,307,1,108.07,2
12957,10,8,4017.54,1
12962,8,2,266.39,0
12963,9,8,1856.63,1
12965,90,1,769.81,2
12966,10,1,160.18,2
12967,359,2,1660.9,0
12968,113,1,135.95,2
12970,8,4,405.47,0
12971,4,86,11189.91,1
12974,198,1,144.8,2
12976,212,1,738.6,2
12977,157,1,39.24,2
12980,158,9,7374.9,1
12981,30,2,372.22,0
12982,243,1,390.54,2
12984,19,1,97.5,2
12985,1,2,1239.38,1
12987,74,2,558.7,0
12988,293,1,505.82,2
12989,4,15,6924.11,1
12990,32,3,409.5,0
12991,24,2,503.76,0
12993,24,4,414.76,0
12994,5,3,974.42,0
12995,86,1,211.32,2
12997,23,4,1226.89,0
12999,197,3,455.88,2
13000,107,3,534.85,0
13001,5,13,9785.97,1
13002,319,1,120.95,2
13003,106,3,149.05,2
13004,12,18,5655.91,1
13005,174,2,513.7,2
13006,57,1,81.57,2
13008,324,1,229.47,2
13011,373,1,50.55,2
13012,10,8,1646.84,1
13013,2,13,4810.94,1
13014,11,10,3466.28,1
13015,54,5,3339.64,0
13016,74,3,789.89,0
13017,8,1,204,2
13018,17,28,7277.7,1
13021,5,9,2616.38,1
13023,65,2,689.9,0
13026,2,5,975.36,1
13027,114,6,6912,0
13028,23,2,661.32,0
13029,31,3,1247.5,0
13030,12,2,752.44,0
13032,53,2,1010.18,0
13033,358,1,190.55,2
13034,55,2,642.77,0
13035,74,2,921.88,0
13037,139,3,881.07,0
13038,81,3,908.46,0
13040,9,2,676.99,0
13043,274,1,516.42,2
13044,292,1,560.47,2
13045,100,1,305.28,2
13046,31,2,629.31,0
13047,32,10,3237.54,1
13048,15,4,1819.41,0
13049,65,2,656.68,0
13050,15,17,5836.86,1
13052,213,1,348.15,2
13055,79,3,1214.41,0
13058,25,3,271.4,0
13059,250,1,183.4,2
13060,254,1,307.53,2
13061,73,1,248.61,2
13062,192,1,346.98,2
13064,13,4,1105.59,0
13065,374,1,205.86,2
13066,25,2,470.8,0
13067,83,1,115.46,2
13068,11,2,344,0
13069,1,24,4431.44,1
13070,193,1,228.8,2
13072,267,1,177.15,2
13075,130,1,919.61,2
